test_id,mode,sector,metric,mean_score_0_5,normalized_0_1,score_spread,review_required,review_reasons,timestamp
a-social-001,summary,social_media,answer_relevancy,3.667,0.7333,1,False,,2026-05-06T20:24:16.039329
a-social-001,summary,social_media,task_completion,4.000,0.8000,0,False,,2026-05-06T20:24:16.039329
a-social-001,summary,social_media,protocol_adherence,5.000,1.0000,0,False,,2026-05-06T20:24:16.039329
a-social-001,summary,social_media,faithfulness,4.000,0.8000,0,False,,2026-05-06T20:24:16.039329
a-social-001,summary,social_media,harm_flagging_accuracy,4.000,0.8000,0,False,,2026-05-06T20:24:16.039329
a-saas-002,summary,saas,answer_relevancy,4.000,0.8000,0,False,,2026-05-06T20:24:21.784096
a-saas-002,summary,saas,task_completion,4.333,0.8667,1,False,,2026-05-06T20:24:21.784096
a-saas-002,summary,saas,protocol_adherence,4.667,0.9333,1,False,,2026-05-06T20:24:21.784096
a-saas-002,summary,saas,faithfulness,4.000,0.8000,0,False,,2026-05-06T20:24:21.784096
a-saas-002,summary,saas,harm_flagging_accuracy,4.000,0.8000,0,False,,2026-05-06T20:24:21.784096
a-research-003,summary,research_consent,answer_relevancy,4.000,0.8000,0,True,high_stakes_sector:research_consent,2026-05-06T20:24:27.765975
a-research-003,summary,research_consent,task_completion,4.000,0.8000,0,True,high_stakes_sector:research_consent,2026-05-06T20:24:27.765975
a-research-003,summary,research_consent,protocol_adherence,4.000,0.8000,0,True,high_stakes_sector:research_consent,2026-05-06T20:24:27.765975
a-research-003,summary,research_consent,faithfulness,3.667,0.7333,1,True,high_stakes_sector:research_consent,2026-05-06T20:24:27.765975
a-research-003,summary,research_consent,harm_flagging_accuracy,4.000,0.8000,0,True,high_stakes_sector:research_consent,2026-05-06T20:24:27.765975
tos-001,summary,search_and_ads,answer_relevancy,3.000,0.6000,0,False,,2026-05-06T20:24:33.837192
tos-001,summary,search_and_ads,task_completion,3.333,0.6667,1,False,,2026-05-06T20:24:33.837192
tos-001,summary,search_and_ads,protocol_adherence,4.667,0.9333,1,False,,2026-05-06T20:24:33.837192
tos-001,summary,search_and_ads,faithfulness,3.333,0.6667,1,False,,2026-05-06T20:24:33.837192
tos-001,summary,search_and_ads,harm_flagging_accuracy,3.667,0.7333,1,False,,2026-05-06T20:24:33.837192
tos-002,summary,search_and_ads,answer_relevancy,3.667,0.7333,1,False,,2026-05-06T20:24:39.390476
tos-002,summary,search_and_ads,task_completion,3.333,0.6667,1,False,,2026-05-06T20:24:39.390476
tos-002,summary,search_and_ads,protocol_adherence,4.333,0.8667,1,False,,2026-05-06T20:24:39.390476
tos-002,summary,search_and_ads,faithfulness,3.333,0.6667,1,False,,2026-05-06T20:24:39.390476
tos-002,summary,search_and_ads,harm_flagging_accuracy,3.667,0.7333,1,False,,2026-05-06T20:24:39.390476
tos-003,summary,productivity_and_cloud,answer_relevancy,3.667,0.7333,1,True,high_stakes_sector:productivity_and_cloud,2026-05-06T20:24:45.989059
tos-003,summary,productivity_and_cloud,task_completion,4.000,0.8000,0,True,high_stakes_sector:productivity_and_cloud,2026-05-06T20:24:45.989059
tos-003,summary,productivity_and_cloud,protocol_adherence,3.667,0.7333,1,True,high_stakes_sector:productivity_and_cloud,2026-05-06T20:24:45.989059
tos-003,summary,productivity_and_cloud,faithfulness,4.000,0.8000,0,True,high_stakes_sector:productivity_and_cloud,2026-05-06T20:24:45.989059
tos-003,summary,productivity_and_cloud,harm_flagging_accuracy,4.000,0.8000,0,True,high_stakes_sector:productivity_and_cloud,2026-05-06T20:24:45.989059
tos-004,summary,productivity_and_cloud,answer_relevancy,3.667,0.7333,1,True,high_stakes_sector:productivity_and_cloud;judge_disagreement:protocol_adherence(spread=5),2026-05-06T20:24:52.917695
tos-004,summary,productivity_and_cloud,task_completion,3.000,0.6000,0,True,high_stakes_sector:productivity_and_cloud;judge_disagreement:protocol_adherence(spread=5),2026-05-06T20:24:52.917695
tos-004,summary,productivity_and_cloud,protocol_adherence,3.000,0.6000,5,True,high_stakes_sector:productivity_and_cloud;judge_disagreement:protocol_adherence(spread=5),2026-05-06T20:24:52.917695
tos-004,summary,productivity_and_cloud,faithfulness,4.000,0.8000,0,True,high_stakes_sector:productivity_and_cloud;judge_disagreement:protocol_adherence(spread=5),2026-05-06T20:24:52.917695
tos-004,summary,productivity_and_cloud,harm_flagging_accuracy,4.000,0.8000,0,True,high_stakes_sector:productivity_and_cloud;judge_disagreement:protocol_adherence(spread=5),2026-05-06T20:24:52.917695
tos-005,summary,ai_services,answer_relevancy,3.667,0.7333,1,True,high_stakes_sector:ai_services,2026-05-06T20:24:58.992930
tos-005,summary,ai_services,task_completion,3.333,0.6667,1,True,high_stakes_sector:ai_services,2026-05-06T20:24:58.992930
tos-005,summary,ai_services,protocol_adherence,5.000,1.0000,0,True,high_stakes_sector:ai_services,2026-05-06T20:24:58.992930
tos-005,summary,ai_services,faithfulness,4.000,0.8000,0,True,high_stakes_sector:ai_services,2026-05-06T20:24:58.992930
tos-005,summary,ai_services,harm_flagging_accuracy,3.667,0.7333,1,True,high_stakes_sector:ai_services,2026-05-06T20:24:58.992930
tos-006,summary,ai_services,answer_relevancy,3.333,0.6667,1,True,high_stakes_sector:ai_services,2026-05-06T20:25:04.183241
tos-006,summary,ai_services,task_completion,3.333,0.6667,1,True,high_stakes_sector:ai_services,2026-05-06T20:25:04.183241
tos-006,summary,ai_services,protocol_adherence,4.333,0.8667,1,True,high_stakes_sector:ai_services,2026-05-06T20:25:04.183241
tos-006,summary,ai_services,faithfulness,3.333,0.6667,1,True,high_stakes_sector:ai_services,2026-05-06T20:25:04.183241
tos-006,summary,ai_services,harm_flagging_accuracy,3.667,0.7333,1,True,high_stakes_sector:ai_services,2026-05-06T20:25:04.183241
tos-007,summary,ai_services,answer_relevancy,3.333,0.6667,1,True,high_stakes_sector:ai_services,2026-05-06T20:25:11.241509
tos-007,summary,ai_services,task_completion,3.000,0.6000,0,True,high_stakes_sector:ai_services,2026-05-06T20:25:11.241509
tos-007,summary,ai_services,protocol_adherence,5.000,1.0000,0,True,high_stakes_sector:ai_services,2026-05-06T20:25:11.241509
tos-007,summary,ai_services,faithfulness,4.000,0.8000,0,True,high_stakes_sector:ai_services,2026-05-06T20:25:11.241509
tos-007,summary,ai_services,harm_flagging_accuracy,4.000,0.8000,0,True,high_stakes_sector:ai_services,2026-05-06T20:25:11.241509
tos-008,summary,ai_services,answer_relevancy,4.000,0.8000,0,True,high_stakes_sector:ai_services,2026-05-06T20:25:16.697925
tos-008,summary,ai_services,task_completion,4.000,0.8000,0,True,high_stakes_sector:ai_services,2026-05-06T20:25:16.697925
tos-008,summary,ai_services,protocol_adherence,4.333,0.8667,1,True,high_stakes_sector:ai_services,2026-05-06T20:25:16.697925
tos-008,summary,ai_services,faithfulness,4.000,0.8000,0,True,high_stakes_sector:ai_services,2026-05-06T20:25:16.697925
tos-008,summary,ai_services,harm_flagging_accuracy,4.000,0.8000,0,True,high_stakes_sector:ai_services,2026-05-06T20:25:16.697925
tos-009,summary,social_media,answer_relevancy,4.000,0.8000,0,True,high_stakes_sector:social_media,2026-05-06T20:25:22.136292
tos-009,summary,social_media,task_completion,4.000,0.8000,0,True,high_stakes_sector:social_media,2026-05-06T20:25:22.136292
tos-009,summary,social_media,protocol_adherence,5.000,1.0000,0,True,high_stakes_sector:social_media,2026-05-06T20:25:22.136292
tos-009,summary,social_media,faithfulness,4.000,0.8000,0,True,high_stakes_sector:social_media,2026-05-06T20:25:22.136292
tos-009,summary,social_media,harm_flagging_accuracy,4.000,0.8000,0,True,high_stakes_sector:social_media,2026-05-06T20:25:22.136292
tos-010,summary,social_media,answer_relevancy,4.000,0.8000,0,True,high_stakes_sector:social_media,2026-05-06T20:25:28.655858
tos-010,summary,social_media,task_completion,4.000,0.8000,0,True,high_stakes_sector:social_media,2026-05-06T20:25:28.655858
tos-010,summary,social_media,protocol_adherence,4.667,0.9333,1,True,high_stakes_sector:social_media,2026-05-06T20:25:28.655858
tos-010,summary,social_media,faithfulness,4.000,0.8000,0,True,high_stakes_sector:social_media,2026-05-06T20:25:28.655858
tos-010,summary,social_media,harm_flagging_accuracy,4.000,0.8000,0,True,high_stakes_sector:social_media,2026-05-06T20:25:28.655858
tos-011,summary,social_media,answer_relevancy,4.000,0.8000,0,True,high_stakes_sector:social_media;judge_disagreement:task_completion(spread=2);random_sample,2026-05-06T20:25:33.578331
tos-011,summary,social_media,task_completion,3.333,0.6667,2,True,high_stakes_sector:social_media;judge_disagreement:task_completion(spread=2);random_sample,2026-05-06T20:25:33.578331
tos-011,summary,social_media,protocol_adherence,4.000,0.8000,0,True,high_stakes_sector:social_media;judge_disagreement:task_completion(spread=2);random_sample,2026-05-06T20:25:33.578331
tos-011,summary,social_media,faithfulness,3.667,0.7333,1,True,high_stakes_sector:social_media;judge_disagreement:task_completion(spread=2);random_sample,2026-05-06T20:25:33.578331
tos-011,summary,social_media,harm_flagging_accuracy,4.000,0.8000,0,True,high_stakes_sector:social_media;judge_disagreement:task_completion(spread=2);random_sample,2026-05-06T20:25:33.578331
tos-012,summary,social_media,answer_relevancy,4.000,0.8000,0,True,high_stakes_sector:social_media,2026-05-06T20:25:39.445699
tos-012,summary,social_media,task_completion,3.000,0.6000,0,True,high_stakes_sector:social_media,2026-05-06T20:25:39.445699
tos-012,summary,social_media,protocol_adherence,4.000,0.8000,0,True,high_stakes_sector:social_media,2026-05-06T20:25:39.445699
tos-012,summary,social_media,faithfulness,3.667,0.7333,1,True,high_stakes_sector:social_media,2026-05-06T20:25:39.445699
tos-012,summary,social_media,harm_flagging_accuracy,3.667,0.7333,1,True,high_stakes_sector:social_media,2026-05-06T20:25:39.445699
tos-013,summary,video_platform,answer_relevancy,3.333,0.6667,1,False,,2026-05-06T20:25:46.480822
tos-013,summary,video_platform,task_completion,3.667,0.7333,1,False,,2026-05-06T20:25:46.480822
tos-013,summary,video_platform,protocol_adherence,4.000,0.8000,0,False,,2026-05-06T20:25:46.480822
tos-013,summary,video_platform,faithfulness,4.000,0.8000,0,False,,2026-05-06T20:25:46.480822
tos-013,summary,video_platform,harm_flagging_accuracy,3.667,0.7333,1,False,,2026-05-06T20:25:46.480822
tos-014,summary,creative_software,answer_relevancy,4.000,0.8000,0,True,high_stakes_sector:creative_software,2026-05-06T20:25:52.091399
tos-014,summary,creative_software,task_completion,3.667,0.7333,1,True,high_stakes_sector:creative_software,2026-05-06T20:25:52.091399
tos-014,summary,creative_software,protocol_adherence,4.667,0.9333,1,True,high_stakes_sector:creative_software,2026-05-06T20:25:52.091399
tos-014,summary,creative_software,faithfulness,4.000,0.8000,0,True,high_stakes_sector:creative_software,2026-05-06T20:25:52.091399
tos-014,summary,creative_software,harm_flagging_accuracy,3.333,0.6667,1,True,high_stakes_sector:creative_software,2026-05-06T20:25:52.091399
tos-015,summary,video_conferencing,answer_relevancy,4.000,0.8000,0,False,,2026-05-06T20:25:58.019063
tos-015,summary,video_conferencing,task_completion,4.000,0.8000,0,False,,2026-05-06T20:25:58.019063
tos-015,summary,video_conferencing,protocol_adherence,4.333,0.8667,1,False,,2026-05-06T20:25:58.019063
tos-015,summary,video_conferencing,faithfulness,4.000,0.8000,0,False,,2026-05-06T20:25:58.019063
tos-015,summary,video_conferencing,harm_flagging_accuracy,4.333,0.8667,1,False,,2026-05-06T20:25:58.019063
tos-016,summary,professional_network,answer_relevancy,4.333,0.8667,1,True,high_stakes_sector:professional_network,2026-05-06T20:26:03.705303
tos-016,summary,professional_network,task_completion,4.000,0.8000,0,True,high_stakes_sector:professional_network,2026-05-06T20:26:03.705303
tos-016,summary,professional_network,protocol_adherence,4.667,0.9333,1,True,high_stakes_sector:professional_network,2026-05-06T20:26:03.705303
tos-016,summary,professional_network,faithfulness,3.667,0.7333,1,True,high_stakes_sector:professional_network,2026-05-06T20:26:03.705303
tos-016,summary,professional_network,harm_flagging_accuracy,4.333,0.8667,1,True,high_stakes_sector:professional_network,2026-05-06T20:26:03.705303
tos-017,summary,workplace_communication,answer_relevancy,4.000,0.8000,0,False,,2026-05-06T20:26:09.322999
tos-017,summary,workplace_communication,task_completion,3.333,0.6667,1,False,,2026-05-06T20:26:09.322999
tos-017,summary,workplace_communication,protocol_adherence,5.000,1.0000,0,False,,2026-05-06T20:26:09.322999
tos-017,summary,workplace_communication,faithfulness,4.000,0.8000,0,False,,2026-05-06T20:26:09.322999
tos-017,summary,workplace_communication,harm_flagging_accuracy,3.333,0.6667,1,False,,2026-05-06T20:26:09.322999
tos-018,summary,workplace_communication,answer_relevancy,3.667,0.7333,1,False,,2026-05-06T20:26:24.656555
tos-018,summary,workplace_communication,task_completion,4.000,0.8000,0,False,,2026-05-06T20:26:24.656555
tos-018,summary,workplace_communication,protocol_adherence,4.667,0.9333,1,False,,2026-05-06T20:26:24.656555
tos-018,summary,workplace_communication,faithfulness,4.000,0.8000,0,False,,2026-05-06T20:26:24.656555
tos-018,summary,workplace_communication,harm_flagging_accuracy,4.000,0.8000,0,False,,2026-05-06T20:26:24.656555
tos-019,summary,community_chat,answer_relevancy,3.667,0.7333,1,False,,2026-05-06T20:26:30.681126
tos-019,summary,community_chat,task_completion,4.000,0.8000,0,False,,2026-05-06T20:26:30.681126
tos-019,summary,community_chat,protocol_adherence,4.667,0.9333,1,False,,2026-05-06T20:26:30.681126
tos-019,summary,community_chat,faithfulness,3.667,0.7333,1,False,,2026-05-06T20:26:30.681126
tos-019,summary,community_chat,harm_flagging_accuracy,3.667,0.7333,1,False,,2026-05-06T20:26:30.681126
tos-020,summary,developer_platform,answer_relevancy,4.000,0.8000,0,True,high_stakes_sector:developer_platform,2026-05-06T20:26:36.272415
tos-020,summary,developer_platform,task_completion,3.667,0.7333,1,True,high_stakes_sector:developer_platform,2026-05-06T20:26:36.272415
tos-020,summary,developer_platform,protocol_adherence,4.333,0.8667,1,True,high_stakes_sector:developer_platform,2026-05-06T20:26:36.272415
tos-020,summary,developer_platform,faithfulness,4.000,0.8000,0,True,high_stakes_sector:developer_platform,2026-05-06T20:26:36.272415
tos-020,summary,developer_platform,harm_flagging_accuracy,3.667,0.7333,1,True,high_stakes_sector:developer_platform,2026-05-06T20:26:36.272415
tos-021,summary,social_media,answer_relevancy,4.000,0.8000,0,False,,2026-05-06T20:26:41.928124
tos-021,summary,social_media,task_completion,4.000,0.8000,0,False,,2026-05-06T20:26:41.928124
tos-021,summary,social_media,protocol_adherence,4.667,0.9333,1,False,,2026-05-06T20:26:41.928124
tos-021,summary,social_media,faithfulness,4.333,0.8667,1,False,,2026-05-06T20:26:41.928124
tos-021,summary,social_media,harm_flagging_accuracy,4.333,0.8667,1,False,,2026-05-06T20:26:41.928124
tos-022,summary,audio_streaming,answer_relevancy,3.667,0.7333,1,False,,2026-05-06T20:26:48.120147
tos-022,summary,audio_streaming,task_completion,3.000,0.6000,0,False,,2026-05-06T20:26:48.120147
tos-022,summary,audio_streaming,protocol_adherence,5.000,1.0000,0,False,,2026-05-06T20:26:48.120147
tos-022,summary,audio_streaming,faithfulness,4.000,0.8000,0,False,,2026-05-06T20:26:48.120147
tos-022,summary,audio_streaming,harm_flagging_accuracy,4.000,0.8000,0,False,,2026-05-06T20:26:48.120147
tos-023,summary,video_streaming,answer_relevancy,4.000,0.8000,0,True,judge_disagreement:faithfulness(spread=4);judge_disagreement:harm_flagging_accuracy(spread=3);low_score:faithfulness=0.53;low_score:harm_flagging_accuracy=0.53,2026-05-06T20:26:53.383628
tos-023,summary,video_streaming,task_completion,4.000,0.8000,0,True,judge_disagreement:faithfulness(spread=4);judge_disagreement:harm_flagging_accuracy(spread=3);low_score:faithfulness=0.53;low_score:harm_flagging_accuracy=0.53,2026-05-06T20:26:53.383628
tos-023,summary,video_streaming,protocol_adherence,4.333,0.8667,1,True,judge_disagreement:faithfulness(spread=4);judge_disagreement:harm_flagging_accuracy(spread=3);low_score:faithfulness=0.53;low_score:harm_flagging_accuracy=0.53,2026-05-06T20:26:53.383628
tos-023,summary,video_streaming,faithfulness,2.667,0.5333,4,True,judge_disagreement:faithfulness(spread=4);judge_disagreement:harm_flagging_accuracy(spread=3);low_score:faithfulness=0.53;low_score:harm_flagging_accuracy=0.53,2026-05-06T20:26:53.383628
tos-023,summary,video_streaming,harm_flagging_accuracy,2.667,0.5333,3,True,judge_disagreement:faithfulness(spread=4);judge_disagreement:harm_flagging_accuracy(spread=3);low_score:faithfulness=0.53;low_score:harm_flagging_accuracy=0.53,2026-05-06T20:26:53.383628
tos-024,summary,video_streaming,answer_relevancy,4.000,0.8000,0,True,judge_disagreement:harm_flagging_accuracy(spread=2),2026-05-06T20:26:59.658649
tos-024,summary,video_streaming,task_completion,4.000,0.8000,0,True,judge_disagreement:harm_flagging_accuracy(spread=2),2026-05-06T20:26:59.658649
tos-024,summary,video_streaming,protocol_adherence,4.333,0.8667,1,True,judge_disagreement:harm_flagging_accuracy(spread=2),2026-05-06T20:26:59.658649
tos-024,summary,video_streaming,faithfulness,4.000,0.8000,0,True,judge_disagreement:harm_flagging_accuracy(spread=2),2026-05-06T20:26:59.658649
tos-024,summary,video_streaming,harm_flagging_accuracy,4.000,0.8000,2,True,judge_disagreement:harm_flagging_accuracy(spread=2),2026-05-06T20:26:59.658649
tos-025,summary,payments,answer_relevancy,3.667,0.7333,1,True,high_stakes_sector:payments;random_sample,2026-05-06T20:27:06.294335
tos-025,summary,payments,task_completion,3.333,0.6667,1,True,high_stakes_sector:payments;random_sample,2026-05-06T20:27:06.294335
tos-025,summary,payments,protocol_adherence,4.333,0.8667,1,True,high_stakes_sector:payments;random_sample,2026-05-06T20:27:06.294335
tos-025,summary,payments,faithfulness,3.667,0.7333,1,True,high_stakes_sector:payments;random_sample,2026-05-06T20:27:06.294335
tos-025,summary,payments,harm_flagging_accuracy,3.667,0.7333,1,True,high_stakes_sector:payments;random_sample,2026-05-06T20:27:06.294335
tos-026,summary,e_commerce,answer_relevancy,4.000,0.8000,0,False,,2026-05-06T20:27:12.868096
tos-026,summary,e_commerce,task_completion,3.667,0.7333,1,False,,2026-05-06T20:27:12.868096
tos-026,summary,e_commerce,protocol_adherence,4.000,0.8000,0,False,,2026-05-06T20:27:12.868096
tos-026,summary,e_commerce,faithfulness,3.667,0.7333,1,False,,2026-05-06T20:27:12.868096
tos-026,summary,e_commerce,harm_flagging_accuracy,3.667,0.7333,1,False,,2026-05-06T20:27:12.868096
tos-027,summary,e_commerce,answer_relevancy,3.667,0.7333,1,False,,2026-05-06T20:27:18.139540
tos-027,summary,e_commerce,task_completion,3.333,0.6667,1,False,,2026-05-06T20:27:18.139540
tos-027,summary,e_commerce,protocol_adherence,4.333,0.8667,1,False,,2026-05-06T20:27:18.139540
tos-027,summary,e_commerce,faithfulness,4.000,0.8000,0,False,,2026-05-06T20:27:18.139540
tos-027,summary,e_commerce,harm_flagging_accuracy,3.333,0.6667,1,False,,2026-05-06T20:27:18.139540
tos-028,summary,device_and_services,answer_relevancy,4.000,0.8000,0,True,high_stakes_sector:device_and_services,2026-05-06T20:27:23.098646
tos-028,summary,device_and_services,task_completion,3.667,0.7333,1,True,high_stakes_sector:device_and_services,2026-05-06T20:27:23.098646
