test_id,mode,sector,metric,mean_score_0_5,normalized_0_1,score_spread,review_required,review_reasons,timestamp
a-social-001,summary,social_media,answer_relevancy,4.000,0.8000,0,False,,2026-05-06T20:39:29.347091
a-social-001,summary,social_media,task_completion,4.000,0.8000,0,False,,2026-05-06T20:39:29.347091
a-social-001,summary,social_media,protocol_adherence,5.000,1.0000,0,False,,2026-05-06T20:39:29.347091
a-social-001,summary,social_media,faithfulness,3.667,0.7333,1,False,,2026-05-06T20:39:29.347091
a-social-001,summary,social_media,harm_flagging_accuracy,3.667,0.7333,1,False,,2026-05-06T20:39:29.347091
a-saas-002,summary,saas,answer_relevancy,4.000,0.8000,0,False,,2026-05-06T20:39:34.702364
a-saas-002,summary,saas,task_completion,5.000,1.0000,0,False,,2026-05-06T20:39:34.702364
a-saas-002,summary,saas,protocol_adherence,5.000,1.0000,0,False,,2026-05-06T20:39:34.702364
a-saas-002,summary,saas,faithfulness,4.333,0.8667,1,False,,2026-05-06T20:39:34.702364
a-saas-002,summary,saas,harm_flagging_accuracy,4.000,0.8000,0,False,,2026-05-06T20:39:34.702364
a-research-003,summary,research_consent,answer_relevancy,3.333,0.6667,1,True,high_stakes_sector:research_consent,2026-05-06T20:39:39.960833
a-research-003,summary,research_consent,task_completion,3.333,0.6667,1,True,high_stakes_sector:research_consent,2026-05-06T20:39:39.960833
a-research-003,summary,research_consent,protocol_adherence,4.333,0.8667,1,True,high_stakes_sector:research_consent,2026-05-06T20:39:39.960833
a-research-003,summary,research_consent,faithfulness,3.000,0.6000,0,True,high_stakes_sector:research_consent,2026-05-06T20:39:39.960833
a-research-003,summary,research_consent,harm_flagging_accuracy,4.000,0.8000,0,True,high_stakes_sector:research_consent,2026-05-06T20:39:39.960833
tos-001,summary,search_and_ads,answer_relevancy,3.667,0.7333,1,False,,2026-05-06T20:39:45.628446
tos-001,summary,search_and_ads,task_completion,4.000,0.8000,0,False,,2026-05-06T20:39:45.628446
tos-001,summary,search_and_ads,protocol_adherence,5.000,1.0000,0,False,,2026-05-06T20:39:45.628446
tos-001,summary,search_and_ads,faithfulness,4.000,0.8000,0,False,,2026-05-06T20:39:45.628446
tos-001,summary,search_and_ads,harm_flagging_accuracy,3.333,0.6667,1,False,,2026-05-06T20:39:45.628446
tos-002,summary,search_and_ads,answer_relevancy,3.667,0.7333,1,False,,2026-05-06T20:39:50.965264
tos-002,summary,search_and_ads,task_completion,3.667,0.7333,1,False,,2026-05-06T20:39:50.965264
tos-002,summary,search_and_ads,protocol_adherence,4.333,0.8667,1,False,,2026-05-06T20:39:50.965264
tos-002,summary,search_and_ads,faithfulness,4.000,0.8000,0,False,,2026-05-06T20:39:50.965264
tos-002,summary,search_and_ads,harm_flagging_accuracy,4.000,0.8000,0,False,,2026-05-06T20:39:50.965264
tos-003,summary,productivity_and_cloud,answer_relevancy,3.667,0.7333,1,True,high_stakes_sector:productivity_and_cloud;random_sample,2026-05-06T20:39:56.768065
tos-003,summary,productivity_and_cloud,task_completion,3.667,0.7333,1,True,high_stakes_sector:productivity_and_cloud;random_sample,2026-05-06T20:39:56.768065
tos-003,summary,productivity_and_cloud,protocol_adherence,4.333,0.8667,1,True,high_stakes_sector:productivity_and_cloud;random_sample,2026-05-06T20:39:56.768065
tos-003,summary,productivity_and_cloud,faithfulness,3.000,0.6000,0,True,high_stakes_sector:productivity_and_cloud;random_sample,2026-05-06T20:39:56.768065
tos-003,summary,productivity_and_cloud,harm_flagging_accuracy,3.667,0.7333,1,True,high_stakes_sector:productivity_and_cloud;random_sample,2026-05-06T20:39:56.768065
tos-004,summary,productivity_and_cloud,answer_relevancy,3.667,0.7333,1,True,high_stakes_sector:productivity_and_cloud,2026-05-06T20:40:06.311740
tos-004,summary,productivity_and_cloud,task_completion,4.000,0.8000,0,True,high_stakes_sector:productivity_and_cloud,2026-05-06T20:40:06.311740
tos-004,summary,productivity_and_cloud,protocol_adherence,4.667,0.9333,1,True,high_stakes_sector:productivity_and_cloud,2026-05-06T20:40:06.311740
tos-004,summary,productivity_and_cloud,faithfulness,3.667,0.7333,1,True,high_stakes_sector:productivity_and_cloud,2026-05-06T20:40:06.311740
tos-004,summary,productivity_and_cloud,harm_flagging_accuracy,4.000,0.8000,0,True,high_stakes_sector:productivity_and_cloud,2026-05-06T20:40:06.311740
tos-005,summary,ai_services,answer_relevancy,4.000,0.8000,0,True,high_stakes_sector:ai_services,2026-05-06T20:40:12.051604
tos-005,summary,ai_services,task_completion,4.000,0.8000,0,True,high_stakes_sector:ai_services,2026-05-06T20:40:12.051604
tos-005,summary,ai_services,protocol_adherence,5.000,1.0000,0,True,high_stakes_sector:ai_services,2026-05-06T20:40:12.051604
tos-005,summary,ai_services,faithfulness,4.333,0.8667,1,True,high_stakes_sector:ai_services,2026-05-06T20:40:12.051604
tos-005,summary,ai_services,harm_flagging_accuracy,4.333,0.8667,1,True,high_stakes_sector:ai_services,2026-05-06T20:40:12.051604
tos-006,summary,ai_services,answer_relevancy,3.667,0.7333,1,True,high_stakes_sector:ai_services,2026-05-06T20:40:17.467249
tos-006,summary,ai_services,task_completion,3.667,0.7333,1,True,high_stakes_sector:ai_services,2026-05-06T20:40:17.467249
tos-006,summary,ai_services,protocol_adherence,4.667,0.9333,1,True,high_stakes_sector:ai_services,2026-05-06T20:40:17.467249
tos-006,summary,ai_services,faithfulness,4.000,0.8000,0,True,high_stakes_sector:ai_services,2026-05-06T20:40:17.467249
tos-006,summary,ai_services,harm_flagging_accuracy,4.000,0.8000,0,True,high_stakes_sector:ai_services,2026-05-06T20:40:17.467249
tos-007,summary,ai_services,answer_relevancy,4.000,0.8000,0,True,high_stakes_sector:ai_services,2026-05-06T20:40:24.006048
